"id","created_at","name","has_test","alternate_url"
"110283263","2024-11-29T12:27:07+0300","Data Scientist",false,"https://hh.ru/vacancy/110283263"
"112160672","2024-11-29T14:02:45+0300","Data Scientist",false,"https://hh.ru/vacancy/112160672"
"112251192","2024-12-01T07:53:03+0300","Data Scientist/ML Engineer",false,"https://hh.ru/vacancy/112251192"
"112301244","2024-12-02T09:11:20+0300","Инженер управления развития",false,"https://hh.ru/vacancy/112301244"
"112307732","2024-12-02T10:13:04+0300","Data Scientist",false,"https://hh.ru/vacancy/112307732"
"112325803","2024-12-02T12:37:00+0300","Data Scientist / ML-инженер (Big Data) в Зеленограде",false,"https://hh.ru/vacancy/112325803"
"112388836","2024-12-03T09:26:53+0300","Junior Data Scientist (Стажер)",false,"https://hh.ru/vacancy/112388836"
"111528693","2024-12-04T20:11:33+0300","Data Scientist/Analyst",false,"https://hh.ru/vacancy/111528693"
"112763125","2024-12-09T13:02:19+0300","Младший специалист, по анализу данных / Junior Data Scientist",false,"https://hh.ru/vacancy/112763125"
"110626525","2024-12-11T12:41:37+0300","Machine Learning Engineer/Data scientist",false,"https://hh.ru/vacancy/110626525"
"113004833","2024-12-11T13:20:00+0300","Стажер Data scientist (LLM в корпоративном кредитовании)",false,"https://hh.ru/vacancy/113004833"
"113290711","2024-12-13T13:16:00+0300","Data Scientist (проект GigaChat)",false,"https://hh.ru/vacancy/113290711"
"112070405","2024-12-18T11:55:42+0300","Junior AI Engineer",false,"https://hh.ru/vacancy/112070405"
"111570608","2024-12-22T11:08:03+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/111570608"
"105927931","2024-12-23T09:22:00+0300","Data scientists",false,"https://hh.ru/vacancy/105927931"
"114964698","2024-12-27T16:32:44+0300","ML Engineer/Data Scientist",false,"https://hh.ru/vacancy/114964698"
"112331201","2025-01-01T13:19:14+0300","Data scientist",false,"https://hh.ru/vacancy/112331201"
"113155326","2025-01-02T16:31:54+0300","Junior Data scientist",false,"https://hh.ru/vacancy/113155326"
"114163817","2025-01-03T09:35:20+0300","Data scientist (Junior) в консалтинг",false,"https://hh.ru/vacancy/114163817"
"112567531","2025-01-04T07:38:34+0300","Data Scientist в области языковых моделей (Junior)",false,"https://hh.ru/vacancy/112567531"
